sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_label
6.2,2.0,1.9,0.3,setosa
2.6,3.4,1.6,0.2,setosa
5.4,3.6,1.1,0.3,setosa
4.9,4.8,1.9,0.3,setosa
6.9,2.0,1.2,0.2,setosa
6.6,2.8,2.1,0.4,setosa
3.4,4.3,1.7,0.3,setosa
3.4,4.7,1.8,0.3,setosa
5.8,3.3,1.0,0.2,setosa
6.8,3.9,2.1,0.3,setosa
4.3,3.4,2.0,0.3,setosa
5.4,3.7,2.0,0.2,setosa
3.4,2.7,1.1,0.1,setosa
3.9,3.6,2.1,0.1,setosa
5.5,3.2,1.1,0.2,setosa
3.3,3.5,2.1,0.3,setosa
3.1,2.4,1.6,0.1,setosa
4.8,3.0,1.2,0.2,setosa
5.3,2.6,1.6,0.2,setosa
2.9,3.3,0.9,0.2,setosa
7.3,4.2,1.0,0.2,setosa
5.3,1.8,1.8,0.3,setosa
4.4,3.2,2.0,0.3,setosa
3.4,3.0,1.9,0.1,setosa
5.6,2.0,1.9,0.1,setosa
7.3,2.6,1.5,0.2,setosa
2.9,2.1,1.2,0.3,setosa
6.1,2.0,0.9,0.3,setosa
4.5,4.4,2.1,0.2,setosa
6.7,4.2,0.8,0.3,setosa
7.0,2.1,2.0,0.3,setosa
6.7,2.3,2.1,0.2,setosa
2.8,3.4,1.2,0.2,setosa
3.9,3.5,1.6,0.2,setosa
4.0,1.8,1.1,0.3,setosa
4.8,3.2,1.4,0.1,setosa
4.1,3.4,0.8,0.2,setosa
5.6,4.3,1.4,0.3,setosa
4.7,3.7,1.2,0.4,setosa
5.2,1.9,0.8,0.3,setosa
4.4,3.0,1.7,0.3,setosa
4.3,2.7,1.4,0.3,setosa
3.1,3.0,1.3,0.3,setosa
4.2,3.6,1.7,0.1,setosa
5.5,2.8,2.0,0.3,setosa
7.0,5.1,1.2,0.2,setosa
3.3,1.9,1.6,0.3,setosa
4.6,4.1,1.5,0.3,setosa
4.8,3.7,1.7,0.4,setosa
5.1,3.0,2.0,0.3,setosa
8.9,1.9,6.2,0.7,versicolor
3.9,3.1,2.8,1.5,versicolor
6.7,1.6,6.0,1.5,versicolor
3.7,3.6,5.9,1.4,versicolor
7.1,1.7,3.1,1.8,versicolor
8.6,2.0,4.9,1.6,versicolor
5.6,3.1,2.7,1.1,versicolor
7.3,2.3,4.6,1.5,versicolor
3.7,2.4,5.1,1.9,versicolor
5.6,3.9,5.9,1.4,versicolor
5.7,3.0,3.1,1.8,versicolor
3.3,2.2,4.7,0.9,versicolor
5.8,2.4,6.3,1.7,versicolor
4.8,1.5,4.5,0.7,versicolor
7.4,3.3,2.7,1.2,versicolor
4.1,3.1,4.8,1.2,versicolor
6.5,3.5,6.2,1.8,versicolor
5.6,2.7,3.0,1.7,versicolor
5.9,1.4,4.2,1.3,versicolor
4.3,2.4,5.5,1.4,versicolor
4.9,4.1,5.8,1.7,versicolor
5.8,1.4,3.5,1.4,versicolor
5.6,1.5,5.2,1.7,versicolor
3.3,2.1,4.0,1.7,versicolor
4.9,3.0,5.2,1.4,versicolor
4.5,2.4,4.5,1.8,versicolor
8.0,3.9,2.8,1.0,versicolor
6.6,2.7,5.2,1.3,versicolor
6.4,1.9,5.5,1.4,versicolor
8.7,2.3,3.4,1.7,versicolor
5.0,2.9,4.5,1.8,versicolor
3.5,2.2,5.4,1.4,versicolor
6.7,3.6,5.1,1.0,versicolor
3.7,1.4,5.9,2.0,versicolor
7.5,2.6,4.1,0.8,versicolor
5.4,2.2,4.0,1.3,versicolor
7.8,2.2,4.9,1.4,versicolor
7.8,3.9,4.6,1.5,versicolor
4.2,3.6,6.3,1.5,versicolor
5.1,2.1,2.5,1.6,versicolor
3.9,1.9,3.8,1.3,versicolor
4.9,1.4,4.1,1.5,versicolor
6.3,3.1,2.7,0.7,versicolor
5.5,2.2,3.5,1.1,versicolor
3.5,2.8,4.2,1.5,versicolor
5.9,1.4,5.8,1.1,versicolor
4.9,2.7,3.1,1.3,versicolor
7.6,2.5,6.1,1.5,versicolor
8.3,2.1,6.3,1.7,versicolor
6.1,2.8,5.5,1.3,versicolor
6.3,2.4,7.0,3.0,virginica
6.6,1.8,6.7,1.8,virginica
6.1,2.2,3.9,1.6,virginica
7.2,3.9,6.5,2.0,virginica
6.8,3.1,8.0,2.7,virginica
6.5,2.2,7.3,1.9,virginica
4.1,1.6,5.9,1.6,virginica
4.4,1.7,4.9,1.6,virginica
5.8,4.1,5.2,2.5,virginica
6.6,2.9,5.1,1.5,virginica
9.1,2.9,4.1,2.7,virginica
7.4,1.9,4.0,1.9,virginica
5.7,1.5,4.4,2.8,virginica
7.2,2.1,7.0,1.6,virginica
6.4,2.9,7.2,2.2,virginica
9.6,2.2,3.7,2.0,virginica
9.3,3.9,6.1,1.9,virginica
4.8,2.4,6.0,2.8,virginica
4.4,2.4,4.0,1.3,virginica
8.2,3.9,5.2,1.8,virginica
4.6,3.2,6.1,2.2,virginica
7.4,3.9,8.0,2.9,virginica
3.6,2.2,8.0,1.8,virginica
5.5,2.8,7.8,1.2,virginica
7.5,1.8,5.9,1.7,virginica
3.6,3.0,2.8,1.7,virginica
3.7,2.6,3.3,1.4,virginica
4.8,4.2,7.5,2.8,virginica
7.1,3.2,5.7,1.6,virginica
3.7,2.6,6.5,1.3,virginica
7.5,3.7,6.3,2.5,virginica
4.2,2.5,5.8,1.4,virginica
4.1,4.1,4.8,1.3,virginica
9.2,2.9,8.3,1.3,virginica
4.0,2.2,4.4,1.4,virginica
6.6,4.0,7.0,1.7,virginica
8.8,3.7,6.0,2.0,virginica
7.6,2.1,7.9,1.7,virginica
6.4,1.5,5.8,2.4,virginica
8.7,2.9,7.8,1.2,virginica
4.1,4.4,6.2,1.8,virginica
7.6,3.4,4.7,3.0,virginica
3.4,3.9,3.9,2.2,virginica
8.7,2.8,4.1,2.5,virginica
5.1,1.6,5.4,1.2,virginica
7.1,3.1,5.4,2.7,virginica
6.1,2.0,4.8,2.1,virginica
6.7,2.7,7.7,2.4,virginica
5.6,3.4,5.5,2.2,virginica
4.1,4.3,8.3,1.6,virginica
